,lat,lon,value,year
3618639,47.5625,7.583333333333333,23.0,2024
3640859,47.5625,7.583333333333333,18.0,2025
3663079,47.5625,7.583333333333333,39.0,2026
3685299,47.5625,7.583333333333333,25.0,2027
3707519,47.5625,7.583333333333333,3.0,2028
3729739,47.5625,7.583333333333333,13.0,2029
3751959,47.5625,7.583333333333333,20.0,2030
3774179,47.5625,7.583333333333333,15.0,2031
3796399,47.5625,7.583333333333333,5.0,2032
3818619,47.5625,7.583333333333333,27.0,2033
3840839,47.5625,7.583333333333333,29.0,2034
3863059,47.5625,7.583333333333333,20.0,2035
3885279,47.5625,7.583333333333333,14.0,2036
3907499,47.5625,7.583333333333333,6.0,2037
3929719,47.5625,7.583333333333333,19.0,2038
3951939,47.5625,7.583333333333333,28.0,2039
3974159,47.5625,7.583333333333333,23.0,2040
3996379,47.5625,7.583333333333333,28.0,2041
4018599,47.5625,7.583333333333333,20.0,2042
4040819,47.5625,7.583333333333333,16.0,2043
4063039,47.5625,7.583333333333333,18.0,2044
4085259,47.5625,7.583333333333333,7.0,2045
4107479,47.5625,7.583333333333333,26.0,2046
4129699,47.5625,7.583333333333333,19.0,2047
4151919,47.5625,7.583333333333333,7.0,2048
4174139,47.5625,7.583333333333333,3.0,2049
4196359,47.5625,7.583333333333333,12.0,2050
4218579,47.5625,7.583333333333333,27.0,2051
4240799,47.5625,7.583333333333333,8.0,2052
4263019,47.5625,7.583333333333333,40.0,2053
4285239,47.5625,7.583333333333333,14.0,2054
4307459,47.5625,7.583333333333333,29.0,2055
4329679,47.5625,7.583333333333333,7.0,2056
4351899,47.5625,7.583333333333333,21.0,2057
4374119,47.5625,7.583333333333333,10.0,2058
4396339,47.5625,7.583333333333333,25.0,2059
4418559,47.5625,7.583333333333333,2.0,2060
4440779,47.5625,7.583333333333333,14.0,2061
4462999,47.5625,7.583333333333333,13.0,2062
4485219,47.5625,7.583333333333333,13.0,2063
4507439,47.5625,7.583333333333333,12.0,2064
4529659,47.5625,7.583333333333333,7.0,2065
4551879,47.5625,7.583333333333333,17.0,2066
4574099,47.5625,7.583333333333333,25.0,2067
4596319,47.5625,7.583333333333333,24.0,2068
4618539,47.5625,7.583333333333333,29.0,2069
4640759,47.5625,7.583333333333333,32.0,2070
4662979,47.5625,7.583333333333333,34.0,2071
4685199,47.5625,7.583333333333333,32.0,2072
4707419,47.5625,7.583333333333333,32.0,2073
4729639,47.5625,7.583333333333333,11.0,2074
4751859,47.5625,7.583333333333333,21.0,2075
4774079,47.5625,7.583333333333333,29.0,2076
4796299,47.5625,7.583333333333333,6.0,2077
4818519,47.5625,7.583333333333333,31.0,2078
4840739,47.5625,7.583333333333333,50.0,2079
4862959,47.5625,7.583333333333333,34.0,2080
4885179,47.5625,7.583333333333333,28.0,2081
4907399,47.5625,7.583333333333333,8.0,2082
4929619,47.5625,7.583333333333333,12.0,2083
4951839,47.5625,7.583333333333333,12.0,2084
4974059,47.5625,7.583333333333333,20.0,2085
4996279,47.5625,7.583333333333333,14.0,2086
5018499,47.5625,7.583333333333333,3.0,2087
5040719,47.5625,7.583333333333333,27.0,2088
5062939,47.5625,7.583333333333333,18.0,2089
5085159,47.5625,7.583333333333333,14.0,2090
5107379,47.5625,7.583333333333333,24.0,2091
5129599,47.5625,7.583333333333333,22.0,2092
5151819,47.5625,7.583333333333333,8.0,2093
5174039,47.5625,7.583333333333333,21.0,2094
5196259,47.5625,7.583333333333333,8.0,2095
5218479,47.5625,7.583333333333333,26.0,2096
5240699,47.5625,7.583333333333333,20.0,2097
5262919,47.5625,7.583333333333333,16.0,2098
5285139,47.5625,7.583333333333333,20.0,2099
